parameter,ols_coef,ols_se,gls_coef,gls_se
const,0.021334069049117776,0.01656143637070379,0.04056264798083081,0.02540146174057202
inflation_gap,0.040382575145028556,0.01517399786090537,0.04140395407371448,0.012853758822156223
output_gap,1.7448946226729111e-06,8.85755139000615e-06,3.1140668188403144e-07,1.27599987424576e-05
ca_gap,-0.007981137764891559,0.008850485644023336,0.0006416644278526128,0.00598957940610693
i_{t-1},0.9829369985863852,0.0185473798449938,0.969004367143799,0.0130437229599478
