episode,model,rmse,vs_ar1_pct,peak_error,direction_accuracy,adaptation_months,n_obs
GFC,AR(1),1476.1428331303916,0.0,3078.726566323806,0.21739130434782608,3.0,24
GFC,Ridge,1446.861428298979,-1.9836430577193402,4062.0789259879975,0.13043478260869565,5.0,24
GFC,XGBoost,1572.8431275632624,6.550876531900555,3265.95361328125,0.34782608695652173,5.0,24
COVID,AR(1),2921.390259535088,0.0,7448.934660937343,0.35294117647058826,,18
COVID,Ridge,2404.2125279726715,-17.703137397491027,5876.933029274362,0.5882352941176471,3.0,18
COVID,XGBoost,2158.7902116684036,-26.104011450631898,5881.204833984375,0.5882352941176471,1.0,18
Energy,AR(1),2911.291470886655,0.0,6251.2667336061195,0.36363636363636365,,12
Energy,Ridge,2334.575380830889,-19.809630736840063,4739.083272069343,0.45454545454545453,,12
Energy,XGBoost,2527.176058101987,-13.193986813957961,5914.8115234375,0.7272727272727273,,12
