episode,mean_info_gap,mean_policy_diff_bp,max_abs_policy_diff_bp,n_months
GFC,-0.028857217613726588,0.02258216716897188,1.1615450749555167,24
COVID,0.009213485633108075,-0.007209997705280758,1.7117835322958075,18
Energy,-0.07746221130605135,0.060617923335735714,0.5056979721559496,12
