parameter,hp_coef,hamilton_coef,hamilton_se,hamilton_pvalue
const,0.021334069049117776,0.02156180415607392,0.015449628608392366,0.16282908368735205
inflation_gap,0.040382575145028556,0.04045928119752314,0.014405283896896043,0.004975098122975303
ca_gap,1.7448946226729111e-06,-0.008349490555571042,0.00833854408317759,0.31667562789708137
output_gap_hamilton,-0.007981137764891559,1.7222224307348485e-05,3.730765540758358e-05,0.6443487661524064
i_{t-1},0.9829369985863852,0.9832058418467554,0.0167673553096246,0.0
