date,bdf_sentiment,bdf_momentum
2008-01-01,0.20534999999999998,
2008-02-01,0.18384999999999962,-0.21324408217453864
2008-03-01,0.15490999999999958,-0.28703645293632846
2008-04-01,0.11473000000000014,-0.39851847543128865
2008-05-01,0.06918000000000006,-0.4517799043279114
2008-06-01,0.02757000000000005,-0.41270168647825184
2008-07-01,-0.017185999999999525,-0.4439047507815539
2008-08-01,-0.06754700000000043,-0.49949698708799817
2008-09-01,-0.14367699999999956,-0.7550824174859155
2008-10-01,-0.24682499999999977,-1.0
2008-11-01,-0.3623019999999997,-1.0
2008-12-01,-0.4560519999999997,-0.9298433815750083
2009-01-01,-0.49157600000000057,-0.35233873372876207
2009-02-01,-0.5029750000000007,-0.11305903687011869
2009-03-01,-0.49063900000000016,0.12235251152117109
2009-04-01,-0.4425269999999998,0.4771906642595967
2009-05-01,-0.3843199999999996,0.5773161995875911
2009-06-01,-0.3346950000000007,0.49219709664702704
2009-07-01,-0.2964609999999993,0.3792174064121613
2009-08-01,-0.25461300000000053,0.4150622488762651
2009-09-01,-0.20767199999999947,0.4655763005281434
2009-10-01,-0.17172199999999976,0.35656394205462694
2009-11-01,-0.14652300000000054,0.249931982637951
2009-12-01,-0.1308329999999998,0.1556185883404007
2010-01-01,-0.12525600000000026,0.05531452308312957
2010-02-01,-0.11869599999999991,0.06506424088674533
2010-03-01,-0.08878100000000018,0.2967068241047054
2010-04-01,-0.06344299999999947,0.25131063042504764
2010-05-01,-0.05970099999999974,0.037114388627769966
2010-06-01,-0.05569600000000037,0.03972290926087811
2010-07-01,-0.02710299999999961,0.2835947926333324
2010-08-01,0.014470000000000028,0.4123347082903198
2010-09-01,0.05309000000000026,0.3830458815618884
2010-10-01,0.07330999999999932,0.20054862053808847
2010-11-01,0.08349999999999938,0.10106777662132678
2010-12-01,0.1144999999999996,0.30746821150747167
2011-01-01,0.15268999999999977,0.37878099991839703
2011-02-01,0.17265000000000014,0.19796985489320018
2011-03-01,0.1883499999999998,0.15571777163442457
2011-04-01,0.1816199999999995,-0.06675035688533426
2011-05-01,0.16036,-0.21086368311769807
2011-06-01,0.1378,-0.22375751134221003
2011-07-01,0.0952699999999993,-0.42182654952944815
2011-08-01,0.0409000000000006,-0.5392595696664746
2011-09-01,-0.006371000000000038,-0.46884934923128335
2011-10-01,-0.03801899999999989,-0.31389528896091445
2011-11-01,-0.05856299999999948,-0.20376215926481692
2011-12-01,-0.07626499999999936,-0.17557426710016735
2012-01-01,-0.08429900000000004,-0.07968385842745859
2012-02-01,-0.07400999999999983,0.10204969123227157
2012-03-01,-0.05953399999999931,0.14357773644458982
2012-04-01,-0.057153999999999885,0.023605623980245197
2012-05-01,-0.06537600000000054,-0.08154850435531023
2012-06-01,-0.07762699999999967,-0.12150945352186253
2012-07-01,-0.08779200000000031,-0.10081981838624597
2012-08-01,-0.09859500000000025,-0.10714771254565077
2012-09-01,-0.11315500000000042,-0.14441087611447767
2012-10-01,-0.1379320000000007,-0.2457464476296985
2012-11-01,-0.13550599999999946,0.024061867132822632
2012-12-01,-0.1253140000000002,0.10108761328012592
2013-01-01,-0.11214400000000069,0.13062439824365224
2013-02-01,-0.10320399999999949,0.08866986486700461
2013-03-01,-0.10581099999999992,-0.025857084754842052
2013-04-01,-0.1139880000000005,-0.0811021795321535
2013-05-01,-0.10069199999999938,0.1318741077485052
2013-06-01,-0.07497699999999981,0.2550498406101434
2013-07-01,-0.050584999999999526,0.2419278908093639
2013-08-01,-0.03555199999999985,0.1491022459223125
2013-09-01,-0.029089000000000455,0.06410216293459967
2013-10-01,-0.02285799999999938,0.061801110513012014
2013-11-01,-0.017753000000000442,0.05063307160468725
2013-12-01,-0.0026210000000006064,0.1500841605332573
2014-01-01,0.011409999999999343,0.13916407986004153
2014-02-01,0.011879999999999313,0.004661614819629082
2014-03-01,0.014010000000000388,0.021126041629394857
2014-04-01,0.0051400000000001,-0.08797558180875298
2014-05-01,-0.02465700000000055,-0.29553646123510535
2014-06-01,-0.05314599999999956,-0.28256328637535455
