date,ecb_sentiment,sentiment_dispersion
2008-01-01,0.002200994052385029,0.47736202498056607
2008-02-01,0.13164569031108508,0.40021937877708685
2008-03-01,0.027280724965609036,0.573634372147813
2008-04-01,0.09871739811367458,0.5494984665125442
2008-05-01,-0.06880442053079605,0.5012514384528649
2008-06-01,0.11179384961724281,0.4644340160503769
2008-07-01,0.11272253898473886,0.4652031527639128
2008-08-01,0.009174303574995562,0.3804023833684284
2008-09-01,-0.1534397938977117,0.43242459614058565
2008-10-01,-0.15778128306070963,0.31628676606281847
2008-11-01,-0.06048248542679681,0.3987595590532063
2008-12-01,0.09010881536147174,0.3750461034588051
2009-01-01,-0.0005916924703688849,0.5527254018188329
2009-02-01,-0.14980070363907588,0.5633905508260457
2009-03-01,-0.0049165040254592896,0.27177337225409365
2009-04-01,-0.3148745894432068,0.3931382871507249
2009-05-01,-0.16941933448498064,0.664612655243495
2009-06-01,0.22457624857242292,0.5128946591009915
2009-07-01,-0.0063895583152771,0.6373582099831929
2009-08-01,0.07898786332872179,0.5529560868078276
2009-09-01,0.12320054854665484,0.60731635434751
2009-10-01,0.20323462411761284,0.5300355760022386
2009-11-01,0.30725546444163604,0.5956553640867867
2009-12-01,0.19628600031137466,0.5275398519601123
2010-01-01,0.1718057680130005,0.47672476713464257
2010-02-01,0.07765564864332025,0.5191520563395167
2010-03-01,0.2574993185698986,0.39794664578873973
2010-04-01,0.23736670884219083,0.3520834563705002
2010-05-01,0.41275019305092947,0.4176272170253184
2010-06-01,0.22356675565242767,0.4691524660359313
2010-07-01,0.028058301657438278,0.5046876605202184
2010-08-01,0.4603459257632494,0.4295674034009135
2010-09-01,0.2795349491967095,0.5000372612029479
2010-10-01,0.30201247464055603,0.3979308128030803
2010-11-01,0.11451957954300775,0.3834800220917201
2010-12-01,0.28798289597034454,0.4582727821481642
2011-01-01,0.2129503091176351,0.44523138700170034
2011-02-01,0.22183788220087688,0.5478432505065888
2011-03-01,0.31393565734227497,0.39439917639301564
2011-04-01,0.21333103853723276,0.3631232424056924
2011-05-01,0.31107845376519594,0.605997923067567
2011-06-01,0.21970974857156927,0.4370440934853794
2011-07-01,0.26774926649199593,0.5054467971395522
2011-08-01,0.23618862558813655,0.41131572609667494
2011-09-01,-0.039448253486467445,0.4151513344770945
2011-10-01,-0.06678015987078349,0.42407020892097824
2011-11-01,-0.1632006626862746,0.6835500868975091
2011-12-01,-0.070597343146801,0.5628033418850168
2012-01-01,-0.015756309032440186,0.5688809603549624
2012-02-01,-0.11957149505615235,0.38538351062673604
2012-03-01,0.18160223563512165,0.4537904623208066
2012-04-01,0.011904090642929077,0.49390333080977944
2012-05-01,0.17627847720594966,0.5389653083397766
2012-06-01,-0.04181051254272461,0.5318561983686477
2012-07-01,0.10025466890896068,0.6158976602540797
2012-08-01,-0.18408099114894866,0.688626594482096
2012-09-01,0.0010939522793418483,0.46582443448273536
2012-10-01,0.008413591555186681,0.6280995199995438
2012-11-01,-0.02500213761078684,0.6994425310588114
2012-12-01,-0.09840768575668335,0.6444390641658141
2013-01-01,-0.08575742244720459,0.6072231043022654
2013-02-01,0.0615372508764267,0.6068034487398066
2013-03-01,-0.03721617868072108,0.5342646183062162
2013-04-01,-0.15212791363398234,0.6353660184166979
2013-05-01,-0.19039961837586902,0.582454208359661
2013-06-01,0.030965689569711685,0.6637636108402882
2013-07-01,-0.14202731251716613,0.6174563705436551
2013-08-01,0.17296209186315536,0.7433184072598092
2013-09-01,-0.07217259407043457,0.6381697680562447
2013-10-01,-0.04877975157329014,0.45401411156190064
2013-11-01,-0.19242383802638335,0.5880989970104782
2013-12-01,0.14169209844925823,0.5377246724141848
2014-01-01,-0.11070332593388027,0.6425576695702785
2014-02-01,-0.03203152616818746,0.47862179599217536
2014-03-01,0.029947201410929363,0.5514407417755788
2014-04-01,-0.08951881527900696,0.6150267566006481
2014-05-01,-0.08295679688453675,0.5136756438283848
2014-06-01,0.02609537477078645,0.558348546094171
2014-07-01,0.09445273876190186,0.5762065570731385
2014-08-01,-0.016647094174435263,0.5717054806613004
2014-09-01,0.046929627656936646,0.4504209485569806
2014-10-01,0.029487717151641845,0.3329367939460407
2014-11-01,0.093687170538409,0.41523321731471136
2014-12-01,-0.08642566800117493,0.3953227877210855
2015-01-01,0.02523422084356609,0.4495159576090022
2015-02-01,0.02523422084356609,0.4495159576090022
2015-03-01,0.26827487846215564,0.6507438603956492
2015-04-01,0.21291972582156843,0.48406054030772994
2015-05-01,0.21291972582156843,0.48406054030772994
2015-06-01,0.32707258065541583,0.5483869017783366
2015-07-01,0.1587345004081726,0.5276014489285202
2015-08-01,0.1587345004081726,0.5276014489285202
2015-09-01,-0.25645583495497704,0.6141723592424848
2015-10-01,0.018616775671641033,0.5529166680494826
2015-11-01,0.018616775671641033,0.5529166680494826
2015-12-01,0.1700975361623262,0.4768029317692736
2016-01-01,-0.07902343784059797,0.5245271698211794
2016-02-01,-0.07902343784059797,0.5245271698211794
2016-03-01,0.18450084659788343,0.5360186038636329
2016-04-01,0.3404576430718104,0.5223677286798167
2016-05-01,0.3404576430718104,0.5223677286798167
2016-06-01,0.2515356701153975,0.39314931845374634
2016-07-01,0.18378627927679764,0.5162194425786139
2016-08-01,0.18378627927679764,0.5162194425786139
2016-09-01,0.13292844966053963,0.5209929703133431
2016-10-01,0.05054527521133423,0.4653721475387647
2016-11-01,0.05054527521133423,0.4653721475387647
2016-12-01,0.3497541546821594,0.42974140392984506
2017-01-01,0.31163887679576874,0.40610629124288355
2017-02-01,0.31163887679576874,0.40610629124288355
2017-03-01,-0.03280486872321681,0.48349029770223284
2017-04-01,0.09101780255635579,0.450266749376795
2017-05-01,0.09101780255635579,0.450266749376795
2017-06-01,0.23237037658691406,0.6736692265145431
2017-07-01,0.3346444567044576,0.5922691055639198
2017-08-01,0.3346444567044576,0.5922691055639198
2017-09-01,-0.04543371613209064,0.46319962764766304
2017-10-01,0.2072757532199224,0.3664963884961367
2017-11-01,0.2072757532199224,0.3664963884961367
2017-12-01,0.17017186771739612,0.5016813574045437
2018-01-01,0.1139230877161026,0.3525763397471605
2018-02-01,0.1139230877161026,0.3525763397471605
2018-03-01,0.07775498855681647,0.5163430503739388
2018-04-01,0.10445206222080049,0.34040220264096493
2018-05-01,0.10445206222080049,0.34040220264096493
2018-06-01,0.11293090879917145,0.4900084627158673
2018-07-01,0.11206496655941009,0.5524801974644118
2018-08-01,0.11206496655941009,0.5524801974644118
2018-09-01,-0.01408866518422177,0.6035494750225053
2018-10-01,0.10800854976360615,0.5198884409651109
2018-11-01,0.10800854976360615,0.5198884409651109
