model,rmse,mae,direction_accuracy
AR(1),2556.5590221643192,1826.574035367576,39.25233644859813
AR(12),2176.0155404452444,1572.9086751902298,56.074766355140184
Ridge,1997.8386292694215,1424.596265891941,57.943925233644855
LASSO,1993.2798568822382,1420.1897106974352,56.074766355140184
GradientBoosting,2062.4451045831893,1450.5832995031817,51.4018691588785
XGBoost,2030.5523518135171,1437.6397151240596,52.336448598130836
LSTM,5657.762482949036,4815.44951325379,45.794392523364486
