date,ntl
2022-04-01,104.3964
2022-05-01,110.8005
2022-06-01,112.122
2022-07-01,106.4295
2022-08-01,67.80178
2022-09-01,109.2757
2022-10-01,113.0368
2022-11-01,113.2402
2022-12-01,89.65692
2023-01-01,100.8386
2023-02-01,107.446
2023-03-01,111.0038
2023-04-01,104.1931
2023-05-01,109.479
2023-06-01,113.2402
2023-07-01,107.0394
2023-08-01,66.17535
2023-09-01,107.0394
2023-10-01,111.9187
2023-11-01,110.3939
2023-12-01,86.91232
2024-01-01,100.432
2024-02-01,104.9047
2024-03-01,106.5311
