model,date,actual,predicted
Ridge,2014-04-01,-12798.0,-12790.177319556973
Ridge,2014-07-01,1179.0,1184.988329747635
Ridge,2014-10-01,3035.0,3025.32849220791
Ridge,2015-01-01,-9107.0,-9107.969583071645
Ridge,2015-04-01,1121.0,1114.5169252204828
Ridge,2015-07-01,15.0,11.65010161631534
Ridge,2015-10-01,-119.0,-123.89061019210351
Ridge,2016-01-01,-16197.0,-16190.756947423179
Ridge,2016-04-01,-473.0,-472.27757510116277
Ridge,2016-07-01,-2171.0,-2175.4675376396035
Ridge,2016-10-01,7973.0,7961.1510704307175
Ridge,2017-01-01,-22167.0,-22165.45861648733
Ridge,2017-04-01,-3650.0,-3646.544833266302
Ridge,2017-07-01,4081.0,4077.4210907483657
Ridge,2017-10-01,4123.0,4112.310754617275
Ridge,2018-01-01,-18230.0,-18226.320686502437
Ridge,2018-04-01,-7512.0,-7510.076783649699
Ridge,2018-07-01,708.0,704.4283323177801
Ridge,2018-10-01,5389.0,5383.769063157052
Ridge,2019-01-01,-6350.0,-6354.076486557605
Ridge,2019-04-01,2234.0,2229.578392937315
Ridge,2019-07-01,2508.0,2500.2748272977105
Ridge,2019-10-01,14102.0,14094.096904193015
Ridge,2020-01-01,-15574.0,-15575.250176899157
Ridge,2020-04-01,-16240.0,-16239.26289270579
Ridge,2020-07-01,-11268.0,-11271.51772645653
Ridge,2020-10-01,1584.0,1586.891019192096
Ridge,2021-01-01,-7378.0,-7377.057308168626
Ridge,2021-04-01,1422.0,1422.4151822079373
Ridge,2021-07-01,1792.0,1788.7661642383298
Ridge,2021-10-01,13125.0,13118.529307400255
Ridge,2022-01-01,-12636.0,-12633.934654559327
Ridge,2022-04-01,-13668.0,-13663.568033180862
Ridge,2022-07-01,-20368.0,-20361.849789715332
GradientBoosting,2010-01-01,-4495.0,-1965.0727685528493
GradientBoosting,2010-04-01,-8751.0,-3389.3468902916006
GradientBoosting,2010-07-01,4057.0,302.53861718854495
GradientBoosting,2010-10-01,-3358.0,-6209.90864834974
GradientBoosting,2011-01-01,-13947.0,-7813.404415322123
GradientBoosting,2011-04-01,-4627.0,-6179.352648951465
GradientBoosting,2011-07-01,1937.0,1945.054200202607
GradientBoosting,2011-10-01,-1053.0,-703.5199708774504
GradientBoosting,2012-01-01,-9691.0,-8321.773186391945
GradientBoosting,2012-04-01,-6381.0,-5353.632476607072
GradientBoosting,2012-07-01,-1145.0,3313.5225408218303
GradientBoosting,2012-10-01,-2934.0,-4292.581533139346
GradientBoosting,2013-01-01,-8262.0,-9149.486461027851
GradientBoosting,2013-04-01,-2100.0,-4607.165401933409
GradientBoosting,2013-07-01,-1465.0,-3208.116763342461
GradientBoosting,2013-10-01,1030.0,-1654.7729522062323
GradientBoosting,2014-01-01,-11969.0,-7721.972104071109
GradientBoosting,2014-04-01,-12798.0,-3753.9614182996143
GradientBoosting,2014-07-01,1179.0,107.03218019172661
GradientBoosting,2014-10-01,3035.0,3500.64312276684
GradientBoosting,2015-01-01,-9107.0,-7908.137889098415
GradientBoosting,2015-04-01,1121.0,-6545.655696507434
GradientBoosting,2015-07-01,15.0,1720.695606668114
GradientBoosting,2015-10-01,-119.0,1256.705594449237
GradientBoosting,2016-01-01,-16197.0,-11098.1888599647
GradientBoosting,2016-04-01,-473.0,2482.5107771293215
GradientBoosting,2016-07-01,-2171.0,-2517.8426654942923
GradientBoosting,2016-10-01,7973.0,2653.5967163658447
GradientBoosting,2017-01-01,-22167.0,-13527.373601622
GradientBoosting,2017-04-01,-3650.0,-1736.1244732784098
GradientBoosting,2017-07-01,4081.0,1040.3443088645097
GradientBoosting,2017-10-01,4123.0,3042.783366064195
GradientBoosting,2018-01-01,-18230.0,-10306.836904449576
GradientBoosting,2018-04-01,-7512.0,-5288.916002307207
GradientBoosting,2018-07-01,708.0,-649.4934905562374
GradientBoosting,2018-10-01,5389.0,4815.516037081347
GradientBoosting,2019-01-01,-6350.0,-10914.591286992756
GradientBoosting,2019-04-01,2234.0,1108.3298657502064
GradientBoosting,2019-07-01,2508.0,1317.2443359500517
GradientBoosting,2019-10-01,14102.0,7437.048068138509
GradientBoosting,2020-01-01,-15574.0,-19507.196744517198
GradientBoosting,2020-04-01,-16240.0,-3399.4716454399413
GradientBoosting,2020-07-01,-11268.0,-6708.205963874024
GradientBoosting,2020-10-01,1584.0,4197.667617038077
GradientBoosting,2021-01-01,-7378.0,-4949.889075943848
GradientBoosting,2021-04-01,1422.0,-1461.8191751398674
GradientBoosting,2021-07-01,1792.0,-4150.5503866564395
GradientBoosting,2021-10-01,13125.0,4910.133430114864
GradientBoosting,2022-01-01,-12636.0,-15725.507529934188
GradientBoosting,2022-04-01,-13668.0,-9561.155993319926
GradientBoosting,2022-07-01,-20368.0,-12919.34613388883
XGBoost,2010-01-01,-4495.0,-2364.692626953125
XGBoost,2010-04-01,-8751.0,-2889.612060546875
XGBoost,2010-07-01,4057.0,81.41056823730469
XGBoost,2010-10-01,-3358.0,-6211.45361328125
XGBoost,2011-01-01,-13947.0,-7639.671875
XGBoost,2011-04-01,-4627.0,-5360.822265625
XGBoost,2011-07-01,1937.0,1915.07958984375
XGBoost,2011-10-01,-1053.0,-2516.574951171875
XGBoost,2012-01-01,-9691.0,-6412.74169921875
XGBoost,2012-04-01,-6381.0,-5468.31982421875
XGBoost,2012-07-01,-1145.0,3588.153564453125
XGBoost,2012-10-01,-2934.0,-4779.54638671875
XGBoost,2013-01-01,-8262.0,-9093.78125
XGBoost,2013-04-01,-2100.0,-4754.5712890625
XGBoost,2013-07-01,-1465.0,-3257.780029296875
XGBoost,2013-10-01,1030.0,-1064.7904052734375
XGBoost,2014-01-01,-11969.0,-6913.19091796875
XGBoost,2014-04-01,-12798.0,-4301.9228515625
XGBoost,2014-07-01,1179.0,744.1012573242188
XGBoost,2014-10-01,3035.0,2461.048583984375
XGBoost,2015-01-01,-9107.0,-6883.6103515625
XGBoost,2015-04-01,1121.0,-6179.93505859375
XGBoost,2015-07-01,15.0,2604.5048828125
XGBoost,2015-10-01,-119.0,936.9420776367188
XGBoost,2016-01-01,-16197.0,-9699.470703125
XGBoost,2016-04-01,-473.0,2180.02685546875
XGBoost,2016-07-01,-2171.0,-3420.84912109375
XGBoost,2016-10-01,7973.0,3494.816650390625
XGBoost,2017-01-01,-22167.0,-13116.7412109375
XGBoost,2017-04-01,-3650.0,-2056.99951171875
XGBoost,2017-07-01,4081.0,530.1997680664062
XGBoost,2017-10-01,4123.0,1984.269287109375
XGBoost,2018-01-01,-18230.0,-10310.458984375
XGBoost,2018-04-01,-7512.0,-8096.48974609375
XGBoost,2018-07-01,708.0,-93.42073059082031
XGBoost,2018-10-01,5389.0,4259.2861328125
XGBoost,2019-01-01,-6350.0,-10950.0087890625
XGBoost,2019-04-01,2234.0,765.0639038085938
XGBoost,2019-07-01,2508.0,1152.8531494140625
XGBoost,2019-10-01,14102.0,6924.455078125
