model,nominal_coverage,empirical_coverage,mean_width,median_width,n_cal,n_eval
AR(1),0.9,0.808,29173.4,29173.4,25,26
AR(4),0.9,0.769,22395.4,22395.4,25,26
Ridge,0.9,0.769,20608.0,20608.0,25,26
LASSO,0.9,0.731,21471.0,21471.0,25,26
DFM,0.9,0.846,22682.0,22682.0,25,26
Bridge,0.9,0.808,22616.2,22616.2,25,26
GradientBoosting,0.9,0.692,18856.0,18856.0,25,26
XGBoost,0.9,0.654,18873.1,18873.1,25,26
LSTM,0.9,0.769,28073.1,28073.1,25,26
GRU,0.9,0.769,28068.5,28068.5,25,26
