specification,description,ridge_rmse,ridge_vs_m0_pct,lasso_rmse,lasso_vs_m0_pct,xgboost_rmse,xgboost_vs_m0_pct,ridge_dm_stat,ridge_dm_p,ridge_gw_stat,ridge_gw_p,lasso_dm_stat,lasso_dm_p,lasso_gw_stat,lasso_gw_p,xgboost_dm_stat,xgboost_dm_p,xgboost_gw_stat,xgboost_gw_p
M0,Baseline,1997.838629269444,0.0,1993.171318790544,0.0,2015.4572824100221,0.0,,,,,,,,,,,,
M1,+Trade-activity,1953.8941340046194,-2.199601840759977,1951.0810666811367,-2.1117227461886094,2022.82507878766,0.3655645020085815,-1.7268856425902497,0.08707399697423446,2.4154238161371535,0.29888036340036794,-2.294341131233373,0.023723245096058276,3.814254851858927,0.1485063700158924,0.15232920600929267,0.8792141581126902,0.12385836560536827,0.9399494490197841
M2,+Financial-flow,1952.472134345469,-2.2707787435546987,1960.8717558761657,-1.6205111226453806,2078.2199027559827,3.114063537526878,-1.5107345611451604,0.1338037331225852,2.63578507756518,0.2676988728978992,-1.0936795040528282,0.2765516216535546,2.343187375755915,0.30987270716552473,1.4156684801875974,0.15977678094054526,1.6860390445300912,0.4304089299756788
M3,+Text/Sentiment,1968.2395127511966,-1.4815569227966654,1924.9960782562553,-3.4204405758586547,2028.5081710289112,0.6475398279482869,-0.5330331474704417,0.5951160058771003,1.5541441633336384,0.45975015347877624,-1.4359589573990899,0.1539311508314063,1.7125760430202792,0.4247357698051305,0.30695986467864,0.7594705064761227,2.8946979815985348,0.23519296107698562
M4,+Satellite,1989.2294473390148,-0.430924790636239,1990.185502290877,-0.1498023010625586,2072.676803108513,2.839034158544385,-0.5335051194602786,0.5947904723693025,0.32550075716724525,0.8498032910419618,-0.5885681711719289,0.5573913843146401,3.0554862409303145,0.21702491411000935,1.1444934014817802,0.2549728054282394,2.3406540400967755,0.3102654616471736
M5,All combined,1867.3866853741981,-6.529653695951844,1890.8979841595465,-5.131186349453245,2060.2387841250124,2.2219027962449287,-1.9118320809082978,0.058572480529949233,4.148402075012502,0.12565678245419998,-1.7699532230732318,0.07958334517409771,2.5355596088313677,0.2814558155647311,0.7524918670833602,0.453407592359957,0.6925620021704422,0.7073137032603636
