index,rolling_dm
13,1.2880369657944548
14,1.470611623422194
15,2.0728197496649443
16,2.2498697899561284
17,2.2249102380615886
18,2.0034786251161565
19,1.7320574972788947
20,1.6712018368570434
21,1.59532930130417
22,1.53940731542917
23,1.622443211481586
24,2.0886892681322804
25,2.151168957850638
26,1.6275495743986819
27,1.4542009351274858
28,1.2050164237282879
29,1.2607061910059278
30,0.7854934811346038
31,0.6502937464252811
32,0.7079561727910331
33,0.6970419452593828
34,0.6596402922625181
35,1.0520069486410004
36,0.778912632402671
37,0.9490535205213054
38,0.8291477294797922
39,0.681941354441195
40,0.7039234181312738
41,0.7112916420027917
42,0.7578360734505045
43,0.8435245937132053
44,0.8816990181345133
45,0.9575810158677952
46,1.0782418670133826
47,1.3322056280898233
48,1.3014675085388319
49,0.7737921957636537
50,-0.005936021021531779
51,-0.13476243152939837
52,0.3232625835731832
53,0.4099764812466819
54,0.4984395492632408
55,0.5020624771958625
56,0.881549318958098
57,1.0868042489028165
58,1.068467516470196
59,1.1627717723547937
60,1.3225150678355075
61,0.9794210257441349
62,0.7698481496813487
63,0.3245185635072552
64,0.24788127230984247
65,0.394927844925416
66,0.2589294397941153
67,0.3683476402830698
68,0.08016431276391683
69,-0.06601526721407493
70,0.13366831385161154
71,0.23904613845915668
72,0.05436531387944183
73,-0.6727253496669184
74,-0.4051263502959444
75,-0.22486834954993892
76,-0.13587872134196147
77,-0.45119428402766387
78,-0.7016264504725176
79,-0.5289299966458098
80,-0.4621670065165358
81,-0.5135415389290527
82,-0.1797626407391531
83,0.017484841943922275
84,0.055180146348105655
85,0.01564746109381449
86,0.726959661639009
87,0.8052192899507697
88,0.9757828447282982
89,1.2005254882961758
90,1.3329698182089402
91,1.2604600373284707
92,1.1176797755706798
93,1.3863461265919306
94,1.5589870727585375
