specification,combo_rmse,combo_mae,combo_dir_acc
M0,1969.9489466196874,1397.1194586025042,49.532710280373834
M1,1937.2527125537197,1393.6134051546494,51.4018691588785
M2,1953.903203116415,1367.9836084402327,54.20560747663551
M3,1928.0840594410774,1379.6857546623896,52.336448598130836
M4,1983.095238399679,1402.5711525754955,58.87850467289719
M5,1866.6307240859396,1339.7899797084322,58.87850467289719
